Index,In,Out
0,193.1484575154018,43.52216354689174
1,204.00829988712354,40.97294027046246
2,191.01947779333716,35.12112558013929
3,179.1177479778552,35.003757531175765
4,194.56760203066676,34.7492945776216
5,207.590968794485,33.54278579602981
6,186.02153509060423,29.386367276229315
7,142.09014601467655,26.686610885201706
8,134.10769272512593,30.820778890445784
9,128.0245591704606,30.00171412554654
10,112.61067471397232,33.71215438730876
11,147.39355603966317,34.01603788351715
12,107.7876714790501,31.267402146272794
13,111.2189682212156,32.517193148978315
14,105.08846892125052,36.416393670411765
15,97.0885208227094,35.1535686373609
16,91.81118493772038,29.997835002955583
17,114.1427980020246,30.27819206608398
18,94.03664571377563,35.84074768576459
19,113.88122551868264,32.09814927947422
20,77.74929386692915,25.80471823206648
21,128.63681371990984,31.28293177378695
22,145.6326170304906,29.917745161754663
23,130.31473269457297,29.74329651000495
24,102.92868054577535,31.50875769671381
25,99.0186894556925,31.30867063859443
26,100.66288500744686,28.964906498298713
27,112.37127286870945,29.781787054468026
28,103.9630359642302,30.63114179209912
29,100.62237353378194,31.550973587485664
30,127.8317959185132,31.18289300637033
31,104.6704816239294,28.505788912671257
32,102.67497280138335,44.21363690728572
33,79.82913315333465,39.30223011811753
34,55.5019250899723,25.60381240903647
35,67.06940203190237,24.130216753483786
36,93.2192728773141,25.89626926851994
37,70.04090522761804,22.853495430140907
38,117.85073147354392,26.894425468289548
39,173.8378684212932,36.09219353973654
40,136.47085877828314,32.373903324959855
41,98.9729220883764,30.879479355655825
42,91.2087964566816,34.38443853680583
43,87.97654712285188,31.37488448802176
44,130.1850171017242,41.00510317627704
45,145.07166713814874,52.91619657464324
46,136.672895316587,46.50641918122996
47,147.5921150434256,41.833418625594454
48,136.12894914351418,39.15417864377786
49,126.95741483295532,40.13325356541235
50,125.18608742346834,37.38302389235589
51,122.94175075439372,36.09118042142599
52,114.48934229906922,31.771489433978886
53,108.56699607777594,36.88855748766717
54,145.9334561703507,34.604291513341984
55,165.59287560679502,36.46650730066049
56,203.65983128274195,82.7202697733574
57,215.214264648682,60.74924875667216
58,166.5275590825064,41.77579905795397
59,131.14604481207184,39.61206055785012
60,171.12570544529902,43.932342109915275
61,170.16718706437132,39.558902388056914
62,186.79589447365316,42.10515005927883
63,198.5250691671173,39.166201563927714
64,205.44790233780674,38.675242017454345
65,183.6712408582426,41.00369215702155
66,151.79988877122722,45.22037076359498
67,158.56342790818965,37.56100938110288
68,144.8460726681432,42.72084410419133
69,170.35834804964483,39.93904376361342
70,196.77814168063023,41.77934556559407
71,139.62693864709587,36.599834346534585
72,150.40170701968324,36.75640981723671
73,150.24702581938053,42.377837305255504
74,137.9085502631332,40.16164776793092
75,162.7173745368938,41.72445531276163
76,176.2457360184126,38.30883702244459
77,193.23320937601693,38.16163350735404
78,192.5896372425852,36.692844329945515
79,187.743702335544,35.8359210114368
80,154.8303972538896,35.7581178819497
81,148.13638774256677,36.27804553973281
82,119.54598571139643,33.6294091939775
83,124.58919892766744,40.23173968938748
84,126.1655374246806,42.63305836415896
85,100.06170039126059,29.711809405934076
86,85.77475909176813,28.37131074887438
87,99.83279218080816,31.627385135234963
